Input,Output
Hualien County,Hualien
Hsinchu City,Hsinchu
Pingtung 900,Pingtung
Pingtung County,Pingtung
Taichug,TaiChung
Taichung City,TaiChung
Tainan city,Tainan
Taipei City,Taipei
"Wenshan, Taipei",Taipei
Aarhus C,Aarhus
Odense M,Odense
2000 Frederiksberg,Frederiksberg
2500 Valby,Valby
Aalborg O,Aalborg
Aarhus N,Aarhus
Aarhus V,Aarhus
Arhus,Aarhus
Copenhagen K,Copenhagen
Frederiksberg / Copenhagen,Copenhagen
"Frederiksberg, Copenhagen",Copenhagen
Frederiksberg/Copenhagen,Copenhagen
Fredriksberg,Frederiksberg
Odense M,Odense
"Odense M, Denmark",Odense
"83 Tat Chee Avenue, Kowloon",Kowloon
