_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
1110,16467,54897,hong kong university science technology,hong kong,,hong kong,http://www.ust.hk,hong kong university science and technology,hong kong,,hong kong,ust
1111,16488,43202,manchester metropolitan university,manchester,,united kingdom,http://www.mmu.ac.uk,university manchester,manchester,cheshire,united kingdom,mbs
1112,16488,7287,manchester metropolitan university,manchester,,united kingdom,http://www.mmu.ac.uk,university manchester,manchester,,united kingdom,mbs
1113,16488,10155,manchester metropolitan university,manchester,,united kingdom,http://www.mmu.ac.uk,university manchester,manchester,,united kingdom,mbs
1114,16488,19551,manchester metropolitan university,manchester,,united kingdom,http://www.mmu.ac.uk,university manchester,manchester,,united kingdom,mbs
1115,16554,35133,university abertay dundee,dundee,,united kingdom,http://www.abertay.ac.uk,university dundee,dundee,,united kingdom,dundee
1116,16559,8022,university auckland,auckland,,new zealand,http://www.auckland.ac.nz,auckland university technology,auckland,,new zealand,aut
1117,16559,57043,university auckland,auckland,,new zealand,http://www.auckland.ac.nz,auckland university technology,auckland,,new zealand,aut
1118,16559,21332,university auckland,auckland,,new zealand,http://www.auckland.ac.nz,auckland university technology,auckland,,new zealand,aut
1119,16560,7269,university birmingham,birmingham,,united kingdom,http://www.birmingham.ac.uk,university birmingham,birmingham,,united kingdom,bham
1120,16560,59186,university birmingham,birmingham,,united kingdom,http://www.birmingham.ac.uk,university birmingham,birmingham,,united kingdom,bham
1121,16562,12040,university british columbia,vancouver, British Columbia ,canada,http://www.ubc.ca,university british columbia,vancouver,bc,canada,ubc
1122,16562,33409,university british columbia,vancouver, British Columbia ,canada,http://www.ubc.ca,university british columbia,kelowna,bc,canada,ubc
1123,16562,30943,university british columbia,vancouver, British Columbia ,canada,http://www.ubc.ca,university british columbia,vancouver,bc,canada,ubc
1124,16562,57774,university british columbia,vancouver, British Columbia ,canada,http://www.ubc.ca,university british columbia,vancouver,bc,canada,ubc
1125,16569,35133,university dundee,dundee,,united kingdom,http://www.dundee.ac.uk,university dundee,dundee,,united kingdom,dundee
1126,16570,34560,university edinburgh,edinburgh,,united kingdom,http://www.ed.ac.uk,university edinburgh,edinburgh,,united kingdom,ed
1127,16570,19174,university edinburgh,edinburgh,,united kingdom,http://www.ed.ac.uk,university edinburgh,edinburgh,uk,united kingdom,ed
1128,16575,1722,university glasgow,glasgow,,united kingdom,http://www.gla.ac.uk,university glasgow adam smith business school,glasgow,scotland,united kingdom,yahoo
1129,16575,39745,university glasgow,glasgow,,united kingdom,http://www.gla.ac.uk,glasgow caledonian university,glasgow,,united kingdom,gcal
1130,16576,40883,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,hong kong,,hong kong,ust
1131,16576,7222,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong baptist university,hong kong,,hong kong,hkbu
1132,16576,54341,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,shatin,new territories,hong kong,cuhk
1133,16576,17368,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,hong kong,p. r. china,hong kong,cuhk
1134,16576,43339,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,hong kong,,hong kong,cityu
1135,16576,56270,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong polytechnic university,hong kong,,hong kong,polyu
1136,16576,53430,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,kowloon,,hong kong,ust
1137,16576,57092,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong polytechnic university,hong kong,hk (sar),hong kong,polyu
1138,16576,9351,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong baptist university,kowloon,kowloon,hong kong,hkbu
1139,16576,48051,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,hong kong,,hong kong,ust
1140,16576,58359,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong baptist university,hong kong,,hong kong,hkbu
1141,16576,29788,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,kowloon,,hong kong,cityu
1142,16576,7910,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,shatin,nt,hong kong,cuhk
1143,16576,56567,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,hong kong,,hong kong,ust
1144,16576,49540,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,hong kong,,hong kong,ust
1145,16576,12215,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,kowloon,,hong kong,ust
1146,16576,29704,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,hong kong,,hong kong,ust
1147,16576,1288,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,shatin,,hong kong,cuhk
1148,16576,21843,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,hong kong,hong kong,hong kong,cityu
1149,16576,57261,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong polytechnic university,kowloon,,hong kong,polyu
1150,16576,30472,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,kowloon,,hong kong,cityu
1151,16576,13162,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,hong kong,,hong kong,cityu
1152,16576,57540,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,kowloon,,hong kong,ust
1153,16576,56219,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,kowloon,hong kong,hong kong,cityu
1154,16576,29548,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,shatin,n.t.,hong kong,cuhk
1155,16576,53608,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong baptist university,hong kong,,hong kong,hkbu
1156,16576,57260,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong polytechnic university,kowloon,,hong kong,polyu
1157,16576,2073,university hong kong,hong kong,,hong kong,http://www.hku.hk,city university hong kong,kowloon,kowloon,hong kong,cityu
1158,16576,24149,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,kowloon,,hong kong,ust
1159,16576,1723,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,shatin,,hong kong,cuhk
1160,16576,33245,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong polytechnic university,hung hom,kowloon,hong kong,polyu
1161,16576,54897,university hong kong,hong kong,,hong kong,http://www.hku.hk,hong kong university science and technology,hong kong,,hong kong,ust
1162,16576,56680,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,hong kong,,hong kong,cuhk
1163,16576,4475,university hong kong,hong kong,,hong kong,http://www.hku.hk,chinese university hong kong,hong kong,,hong kong,cuhk
1164,16578,39046,university hull,hull,,united kingdom,http://www.hull.ac.uk,university hull,hull,yorkshire,united kingdom,hotmail
1165,16578,24581,university hull,hull,,united kingdom,http://www.hull.ac.uk,university hull,hull,east riding of,united kingdom,hull
1166,16579,57289,university kent,canterbury,,united kingdom,http://www.kent.ac.uk,university kent,canterbury,,united kingdom,kent
1167,16581,43202,university manchester,manchester,,united kingdom,http://www.manchester.ac.uk,university manchester,manchester,cheshire,united kingdom,mbs
1168,16581,7287,university manchester,manchester,,united kingdom,http://www.manchester.ac.uk,university manchester,manchester,,united kingdom,mbs
1169,16581,10155,university manchester,manchester,,united kingdom,http://www.manchester.ac.uk,university manchester,manchester,,united kingdom,mbs
1170,16581,19551,university manchester,manchester,,united kingdom,http://www.manchester.ac.uk,university manchester,manchester,,united kingdom,mbs
1171,16587,311,university newcastle,callaghan,New South Wales,australia,http://www.newcastle.edu.au,university newcastle australia,newcastle,nsw,australia,newcastle
1172,16587,20884,university newcastle,callaghan,New South Wales,australia,http://www.newcastle.edu.au,university newcastle australia,callaghan,nsw,australia,newcastle
1173,16590,40872,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,nottingham trent university,nottingham,,united kingdom,ntu
1174,16590,44811,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,university nottingham,nottingham,,united kingdom,nottingham
1175,16590,10268,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,university nottingham,nottingham,,united kingdom,nottingham
1176,16590,40349,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,university nottingham,nottingham,,united kingdom,nottingham
1177,16590,9718,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,nottingham trent university,nottingham,nottinghamshire,united kingdom,ntu
1178,16590,31513,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,nottingham trent university,nottingham,,united kingdom,ntu
1179,16590,39033,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,university nottingham,nottingham,,united kingdom,nottingham
1180,16590,58150,university nottingham,nottingham,,united kingdom,http://www.nottingham.ac.uk,university nottingham,nottingham,,united kingdom,nottingham
1181,16591,17981,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,university southern queensland,toowoomba,queensland,australia,usq
1182,16591,57688,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,university queensland australia,brisbane,qld,australia,uqconnect
1183,16591,42851,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,central queensland university,melbourne,vic,australia,gmail
1184,16591,36033,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,university queensland australia,st. lucia,qld,australia,uq
1185,16591,7409,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,university queensland australia,brisbane,queensland,australia,uq
1186,16591,7311,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,university queensland australia,brisbane,,australia,uq
1187,16591,37454,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,queensland university technology,south brisbane,queensland,australia,qut
1188,16591,58307,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,university queensland australia,brisbane,qld,australia,uq
1189,16591,57095,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,queensland university technology,brisbane,qld,australia,qut
1190,16591,35105,university queensland,brisbane,Queensland,australia,http://www.uq.edu.au,university queensland australia,brisbane,queensland,australia,uq
1191,16592,40877,university reading,reading,,united kingdom,http://www.reading.ac.uk,university reading,henley on thames,oxfordshire,united kingdom,reading
1192,16592,29910,university reading,reading,,united kingdom,http://www.reading.ac.uk,university reading,reading,berkshire,united kingdom,rdg
1193,16592,49726,university reading,reading,,united kingdom,http://www.reading.ac.uk,university reading,reading,,united kingdom,icmacentre
1194,16592,32701,university reading,reading,,united kingdom,http://www.reading.ac.uk,university reading,henley on thames,oxfordshire,united kingdom,reading
1195,16592,41065,university reading,reading,,united kingdom,http://www.reading.ac.uk,university reading,henley on thames,,united kingdom,reading
1196,16592,47324,university reading,reading,,united kingdom,http://www.reading.ac.uk,university reading,hertford,herts,united kingdom,spaceforlearning
1197,16594,57265,university sheffield,sheffield,,united kingdom,http://www.shef.ac.uk,university sheffield,sheffield,,united kingdom,sheffield
1198,16594,9797,university sheffield,sheffield,,united kingdom,http://www.shef.ac.uk,university sheffield,sheffield,south yorkshire,united kingdom,sheffield
1199,16594,19764,university sheffield,sheffield,,united kingdom,http://www.shef.ac.uk,university sheffield,sheffield,,united kingdom,sheffield
1200,16594,57956,university sheffield,sheffield,,united kingdom,http://www.shef.ac.uk,university sheffield,sheffield,,united kingdom,sheffield
1201,16617,58472,university waikato,hamilton,,new zealand,http://www.waikato.ac.nz,university waikato,tauranga,,new zealand,gmail
1202,16617,4497,university waikato,hamilton,,new zealand,http://www.waikato.ac.nz,university waikato,hamilton,,new zealand,gmail
1203,16618,7908,university west london,london,,united kingdom,http://www.uwl.ac.uk,university london,egham,surrey,united kingdom,rhul
1204,16618,11411,university west london,london,,united kingdom,http://www.uwl.ac.uk,university london,egham,surrey,united kingdom,rhul
1205,16618,15319,university west london,london,,united kingdom,http://www.uwl.ac.uk,university london,egham,surrey,united kingdom,rhul
1206,16619,30941,university western australia,crawley,Western Australia,australia,http://www.uwa.edu.au,university western australia,crawley,washington,australia,uwa
1207,16619,15766,university western australia,crawley,Western Australia,australia,http://www.uwa.edu.au,university western australia,perth,western aust,australia,uwa
1208,16619,17947,university western australia,crawley,Western Australia,australia,http://www.uwa.edu.au,university western australia,perth,washington,australia,uwa
1209,16619,57802,university western australia,crawley,Western Australia,australia,http://www.uwa.edu.au,university western australia,crawley,washington,australia,uwa
1210,16621,56278,university wolverhampton,wolverhampton,,united kingdom,http://www.wlv.ac.uk,university wolverhampton,wolverhampton,,united kingdom,wlv
1211,16647,48699,tianjin agricultural university,tianjin,Tianjin Province,china,http://www.tjau.edu.cn/,tianjin university,tianjin,tianjin,china,sina
1212,16654,48699,tianjin polytechnic university,tianjin,Tianjin Province,china,http://www.tjpu.edu.cn,tianjin university,tianjin,tianjin,china,sina
1213,16656,48699,tianjin university,tianjin,Tianjin Province,china,http://www.tju.edu.cn,tianjin university,tianjin,tianjin,china,sina
1214,16657,48699,tianjin university commerce,tianjin,Tianjin Province,china,http://www.tjcu.edu.cn,tianjin university,tianjin,tianjin,china,sina
1215,16658,48699,tianjin university finance economics,tianjin,Tianjin Province,china,http://www.tjufe.edu.cn,tianjin university,tianjin,tianjin,china,sina
1216,16659,48699,tianjin university science technology,tianjin,Tianjin Province,china,http://www.tust.edu.cn,tianjin university,tianjin,tianjin,china,sina
1217,16660,48699,tianjin university sport,tianjin,Tianjin Province,china,http://www.tjipe.edu.cn,tianjin university,tianjin,tianjin,china,sina
1218,16661,48699,tianjin university technology,tianjin,Tianjin Province,china,http://www.tjut.edu.cn,tianjin university,tianjin,tianjin,china,sina
1219,16662,48699,tianjin university technology education,tianjin,,china,http://www.tute.edu.cn/,tianjin university,tianjin,tianjin,china,sina
1220,16663,48699,tianjin university traditional chinese medicine,tianjin,Tianjin Province,china,http://www.tjutcm.edu.cn,tianjin university,tianjin,tianjin,china,sina
1221,16773,978,tongji university,shanghai,Shanghai,china,http://www.tongji.edu.cn,tongji university,shanghai,,china,gmail
1222,16773,53850,tongji university,shanghai,Shanghai,china,http://www.tongji.edu.cn,tongji university,shanghai,shanghai,china,sina
1223,16773,58415,tongji university,shanghai,Shanghai,china,http://www.tongji.edu.cn,tongji university,shanghai,#name?,china,yahoo
1224,16773,58414,tongji university,shanghai,Shanghai,china,http://www.tongji.edu.cn,tongji university,shanghai,#name?,china,163
1225,16773,55668,tongji university,shanghai,Shanghai,china,http://www.tongji.edu.cn,tongji university,shanghai,,china,hotmail
1226,16837,58250,transworld university,toulin city,Yunlin County,taiwan,http://www.twu.edu.tw/,transworld university,douliu city,,taiwan,yahoo
1227,16857,30161,trinity western university,langley, British Columbia ,canada,http://www.twu.ca,western university,london,on,canada,uwo
1228,16857,43400,trinity western university,langley, British Columbia ,canada,http://www.twu.ca,western university,london,on,canada,ivey
1229,16857,57994,trinity western university,langley, British Columbia ,canada,http://www.twu.ca,western university,london,on,canada,uwo
