person_id,person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
6373,47852,university victoria,victoria,bc,canada,uvic.ca,uvic
144,652,singapore management university,singapore,,singapore,smu.edu.sg,smu
9110,59042,istanbul university,istanbul,,turkey,istanbul.edu.tr,istanbul
2727,16244,hong kong polytechnic university,hong kong,,hong kong,polyu.edu.hk,polyu
8949,58758,university cambridge,cambridge,,united kingdom,icloud.com,icloud
4750,35364,harvard university,belmont,massachusetts,united states,gmail.com,gmail
1011,4703,university california berkeley,berkeley,california,united states,haas.berkeley.edu,berkeley
1133,5250,colorado state university,fort collins,colorado,united states,colostate.edu,colostate
9044,58929,university bamberg,bamberg,,germany,uni-bamberg.de,uni-bamberg
4030,29047,iese business school,madrid,,spain,iese.edu,iese
4135,29927,university palermo,palermo,,italy,unipa.it,unipa
2968,18934,duquesne university,pittsburgh,pennsylvania,united states,duq.edu,duq
7778,56384,asian institute technology,pathum thani,,thailand,yahoo.com,yahoo
8377,57584,hang seng management college,tai po,,hong kong,hsmc.edu.hk,hsmc
6174,46613,fairleigh dickinson university,surrey,bc,canada,hotmail.com,hotmail
7918,56683,university chicago,chicago,illinois,united states,chicagobooth.edu,chicagobooth
4453,32979,loyola university new orleans,new orleans,louisiana,united states,loyno.edu,loyno
1485,6881,university north carolina chapel hill,chapel hill,north carolina,united states,unc.edu,unc
3518,24383,icw consulting group,penn valley,pennsylvania,united states,icwconsulting.com,icwconsulting
136,629,university massachusetts amherst,amherst,massachusetts,united states,isenberg.umass.edu,umass
1915,9594,arizona state university,tempe,arizona,united states,asu.edu,asu
1862,9168,city university hong kong,hong kong,hong kong,hong kong,cityu.edu.hk,cityu
7986,56821,embry riddle aeronautical university,daytona beach,florida,united states,erau.edu,erau
784,3589,university new mexico,albuquerque,new mexico,united states,unm.edu,unm
455,1976,hec paris,jouy en josas,,france,hec.fr,hec
9021,58882,national university ireland maynooth,maynooth,,ireland,nuim.ie,nuim
3563,24849,school management xiamen university,xiamen,fujian,china,126.com,126
3928,28219,university georgia,athens,georgia,united states,uga.edu,uga
6824,51362,university st gallen,st. gallen,,switzerland,unisg.ch,unisg
8913,58683,loughborough university,leicester,,united kingdom,lboro.ac.uk,lboro
8951,58760,university california san diego,la jolla,california,united states,ucsd.edu,ucsd
5113,38708,boston college,brighton,massachusetts,united states,gmail.com,gmail
723,3233,university maryland,los angeles,california,united states,rhsmith.umd.edu,umd
826,3803,bowling green state university,bowling green,ohio,united states,bgsu.edu,bgsu
1997,10190,harvard university,boston,massachusetts,united states,hbs.edu,hbs
7783,56404,franklin marshall college,lancaster,pennsylvania,united states,fandm.edu,fandm
4274,31120,esade business school,barcelona,,spain,esade.edu,esade
