person_id,a_name,a_city,a_prov,a_country,a_email_server,a_email_server_cleaned
5463,university miami,coral gables,florida,united states,miami.edu,miami
5473,london business school,london,,united kingdom,london.edu,london
5474,east china university science andtechnology,shanghai,,china,ecust.edu.cn,ecust
5475,renmin university china,beijing,,china,sina.com,sina
5482,insead,singapore,,singapore,insead.edu,insead
5484,columbia university,new york,new york,united states,columbia.edu,columbia
5488,university west indies,tunapuna,,trinidad and tobago,uwi-iob.org,uwi-iob
5489,harvard university,cambridge,massachusetts,united states,mba1999.hbs.edu,hbs
5490,cleveland state university,cleveland,ohio,united states,csuohio.edu,csuohio
5491,massey university,north shore city,waikato,new zealand,massey.ac.nz,massey
5493,university cyprus,nicosia,,cyprus,ucy.ac.cy,ucy
5498,university college dublin,dublin,,ireland,ucd.ie,ucd
5508,cranfield university,bedford,,united kingdom,cranfield.ac.uk,cranfield
5509,northeastern university,boston,massachusetts,united states,neu.edu,neu
5511,university toronto,toronto,on,canada,rotman.utoronto.ca,utoronto
5512,griffith university,nathan,qld,australia,griffith.edu.au,griffith
5520,university connecticut,storrs mansfield,connecticut,united states,Business.uconn.edu,uconn
5521,university california los angeles,los angeles,california,united states,anderson.ucla.edu,ucla
5522,national university singapore,singapore,,singapore,nus.edu.sg,nus
5525,seoul national university,seoul,,south korea,snu.kr,snu
5529,queen university,victoria,bc,canada,business.queensu.ca,queensu
5531,university bath,bath,,united kingdom,bath.ac.uk,bath
5534,city university london,rugby,warwickshire,united kingdom,city.ac.uk,city
5536,queen university,kingston,on,canada,business.queensu.ca,queensu
5539,university houston,houston,texas,united states,uh.edu,uh
5550,colorado state university,fort collins,colorado,united states,business.colostate.edu,colostate
5551,georgia state university,atlanta,georgia,united states,gsu.edu,gsu
5561,fayetteville state university,fayetteville,north carolina,united states,uncfsu.edu,uncfsu
5563,oklahoma state university,stillwater,oklahoma,united states,okstate.edu,okstate
5566,universitys air force academy,monument,colorado,united states,usafa.edu,usafa
5567,university south carolina,columbia,south carolina,united states,moore.sc.edu,sc
5572,city university london,london,,united kingdom,city.ac.uk,city
5573,bar ilan university,ramat gan,,israel,mail.biu.ac.il,biu
5578,city university london,london,,united kingdom,city.ac.uk,city
5583,university gothenburg,gothenburg,,sweden,handels.gu.se,gu
5585,norwegian school economics,bergen,,norway,nhh.no,nhh
5591,monash university,melbourne,victoria,australia,monash.edu,monash
5600,cass business school city university london,london,,united kingdom,city.ac.uk,city
5602,rutgers university,new york,new york,united states,business.rutgers.edu,rutgers
5605,hong kong university science and technology,hong kong,,china,ust.hk,ust
5607,drexel university,philadelphia,pennsylvania,united states,drexel.edu,drexel
5615,iese business school,madrid,-1,spain,iese.edu,iese
5624,okinawa university,naha,okinawa,japan,okinawa-u.ac.jp,okinawa-u
5625,colorado technical university,colorado springs,colorado,united states,coloradotech.edu,coloradotech
5628,loyola university chicago,chicago,illinois,united states,luc.edu,luc
5635,university st gallen,st. gallen,st. gallen,switzerland,unisg.ch,unisg
5639,university cambridge,cambridge,cambridgeshire,united kingdom,jbs.cam.ac.uk,cam
5640,st george university,lawrenceville,new jersey,united states,gmail.com,gmail
5644,bi norwegian business school,oslo,,norway,bi.no,bi
5662,syracuse university,syracuse,new york,united states,syr.edu,syr
5663,imd,lausanne,maryland,united states,imd.org,imd
5669,case western reserve university,cleveland,ohio,united states,case.edu,case
5671,technion israel institute technology,haifa,,israel,ie.technion.ac.il,technion
5672,insead,fontainebleau,cedex,france,insead.edu,insead
5674,hec university lausanne,lausanne,vaud,switzerland,unil.ch,unil
5682,singapore management university,singapore,,singapore,smu.edu.sg,smu
5688,university western ontario,london,on,canada,ivey.uwo.ca,uwo
5689,depaul university,chicago,illinois,united states,depaul.edu,depaul
5698,rush university,chicago,illinois,united states,rush.edu,rush
5700,rice university,houston,texas,united states,rice.edu,rice
5701,university north texas,denton,texas,united states,unt.edu,unt
5713,university pennsylvania,philadelphia,pennsylvania,united states,wharton.upenn.edu,upenn
5715,university michigan,ann arbor,michigan,united states,umich.edu,umich
